,R_ABS,G_ABS
78006,-22.677232083179575,-22.103531855999087
78462,-21.065774550666106,-20.60360337101559
78822,-20.11753272935241,-19.40295808457078
81365,-20.12105150801071,-19.715814798105438
85289,-22.63305405792925,-21.774213341744236
86458,-20.2081923034762,-19.74324242212553
87435,-22.255272829391437,-21.53561948150847
96874,-21.903310976857945,-21.136406033878583
102324,-20.63346897201459,-20.0562069950419
102443,-21.206685554678085,-20.588796220708282
104079,-20.428752709565934,-19.66593525404207
104274,-20.748923769069552,-19.98315920455101
104713,-21.640492343364006,-20.970373343057915
107034,-21.28245960836156,-20.533033129129247
110749,-20.23669741374897,-19.50669889688514
111265,-20.74328568701703,-20.142672456400756
114097,-21.561261151486814,-20.936464699211772
115175,-20.916626228237483,-20.14818948521247
115465,-20.212573059494044,-19.48840943468778
117522,-22.153217577304808,-21.39918878373814
120360,-21.589012713612625,-20.741929320595414
120603,-20.967923836013544,-20.207614433605826
120664,-21.17441618913215,-20.396961903664543
136580,-22.5396327242047,-21.759820254081134
136942,-21.797581146263767,-21.266018462895502
137046,-20.28975867642882,-19.64418873899503
137086,-20.278090587074477,-19.499020960779173
137593,-21.731430957704873,-20.980828143737277
138961,-20.90673039451519,-20.484171332625138
139843,-21.456722550652135,-20.868994851091188
139899,-20.313618673354647,-19.725833975681848
140172,-22.126487219298838,-21.46110604019269
140420,-21.824630460660686,-21.052336269390786
140570,-21.15742178073666,-20.488141779820523
140928,-21.9877892981144,-21.204153096566387
141176,-21.057652009358215,-20.237758349133923
141225,-22.169687331185095,-21.450618518466776
141915,-20.1078168186745,-19.63617559761101
142668,-20.500887480089624,-19.789208682964883
142677,-21.495070287049657,-20.611699974211902
142775,-21.19909630521164,-20.454820622371727
143300,-22.105765660788492,-21.409968727876397
143419,-21.8806882652545,-21.36298760657478
143936,-20.365313477749712,-19.600751163000858
144416,-20.488572321614587,-19.765355347556046
145106,-21.056910303230197,-20.307703183229997
145138,-22.33322883844903,-21.496594653731286
145140,-20.281464834912768,-19.877709247061656
145309,-22.631742086198578,-21.882474370945708
145332,-21.076604337904552,-20.302467673724376
145568,-20.194528544079674,-19.48661470092399
149277,-20.12501874301039,-19.440521366284894
150268,-20.076975586436177,-19.599746988706876
153860,-21.976143210605606,-21.313858250112187
155867,-21.326987556656086,-20.78317070114738
156367,-21.53077481190292,-21.038199939877714
159509,-20.175795645745715,-19.36063438550187
160689,-20.143407735794998,-19.504205284728354
161344,-21.000059641562654,-20.25558374402774
161669,-22.556831713166297,-21.76788372857759
161697,-22.01043481223047,-21.166230122407672
161787,-21.00681181528835,-20.35087858005451
161904,-21.779227244159507,-21.03266908588935
161924,-20.925087133012212,-20.161322123292724
162263,-21.41636708774116,-20.602377218740806
162824,-22.163501844421745,-21.40009305969477
163049,-21.554655715695244,-20.87978326185525
163103,-20.72516476499267,-19.901028915745684
163178,-21.68124534618526,-21.00373481717647
163419,-21.234234632722664,-20.627337953367277
163868,-20.978725980084747,-20.17381116987771
164051,-21.99888994681936,-21.215693877792653
164054,-20.339105878192072,-19.569200930697452
164099,-20.8194864077957,-20.074053721968674
164183,-20.545929332709104,-19.75506687493979
164322,-20.63372940370171,-19.893094831179152
164461,-21.984403110560947,-21.20142078178908
164556,-24.22012740852256,-23.420129263781888
167345,-21.18436422853299,-20.519530261222727
171193,-20.288666319780912,-19.62181979758509
173129,-20.47731945520453,-19.696456229674446
173694,-20.41584623140166,-19.492904824372165
175857,-20.106068982672724,-19.374116439041984
176056,-21.858189825700258,-21.13284554043855
182898,-20.331864563790962,-19.72906384250492
188800,-21.248816510504646,-20.586693313050603
189555,-21.531870989966382,-20.849264027774634
190074,-21.791358893220384,-21.0372210587945
193583,-20.166373514838575,-19.646007125563006
193593,-21.542572922732322,-20.825848936066297
194185,-21.038000405155948,-20.313757292932674
194194,-20.883146455377037,-20.166365013707235
194749,-20.04653929982191,-19.33416337582096
195563,-20.53406457950584,-19.941829229385114
197611,-20.42532795315901,-19.670241613137033
198310,-20.528310881267156,-19.812870423040668
198360,-21.5852096581213,-20.959481190356296
200782,-21.28017120211414,-20.508934817613888
201028,-20.51239724800956,-19.893000638974055
203602,-21.368657006298108,-20.547480045805695
204053,-20.53040466929929,-19.90975592651452
205207,-20.373650531934178,-19.783640058217514
205901,-20.956190476569144,-20.268724844349673
208855,-20.585995258519898,-19.939819311377104
211335,-21.783881666044973,-21.032731534304908
212249,-20.395466909497276,-19.996140550828827
212842,-20.119362387629852,-19.614228551637552
214342,-22.114098901655936,-21.35516843013562
216212,-20.56859749070091,-20.00539648464
225506,-20.27126332194263,-19.907043534601947
226486,-21.221393760407658,-20.67149233346766
236128,-20.158475493378578,-19.490624689547392
236420,-20.06362587315133,-19.498078104944035
236543,-20.241855001487878,-19.49085456375578
238601,-20.661171551574927,-19.915465291253792
240225,-21.543895682618974,-20.739716934655945
240269,-20.414032151696187,-19.65400651052636
242484,-21.14827619731393,-20.685606148898618
243010,-20.994111980344382,-20.23893279165462
249276,-20.57857840914855,-20.119110828600093
249727,-20.462514567678216,-19.765939839402787
254286,-21.46969391865694,-20.705366444098857
255017,-20.103578081255826,-19.67666309529291
258063,-21.04582125329563,-20.341167494640793
259288,-20.150378789992896,-19.676013664731524
